CustomerID,Lookalikes
C0143,"[('C0028', 0.9983963125376489), ('C0136', 0.9959296491893802), ('C0093', 0.9925081976618887)]"
C0144,"[('C0036', 0.9971216623246275), ('C0050', 0.9917893991465537), ('C0020', 0.9916254264829135)]"
C0145,"[('C0101', 0.9999220089118896), ('C0021', 0.9959061848282188), ('C0022', 0.9938908883191151)]"
C0146,"[('C0177', 0.9997840050263622), ('C0142', 0.9979214285840489), ('C0115', 0.997206603839929)]"
C0147,"[('C0108', 0.9817374203282557), ('C0184', 0.9816741881553779), ('C0118', 0.9803283755005007)]"
C0148,"[('C0163', 0.9996867201734118), ('C0169', 0.9952653400547415), ('C0155', 0.9916038390806928)]"
C0149,"[('C0037', 0.999741481055987), ('C0170', 0.9994262531689087), ('C0064', 0.9988715866362793)]"
C0150,"[('C0083', 0.9802589033597142), ('C0071', 0.9695872088394013), ('C0112', 0.96115098667977)]"
C0151,"[('C0032', 0.9899315431366171), ('C0085', 0.9775324472689606), ('C0129', 0.9765514917072355)]"
C0152,"[('C0001', 0.9987651788245898), ('C0174', 0.9979380965419243), ('C0118', 0.9973726201275666)]"
C0153,"[('C0108', 0.9974706827474054), ('C0171', 0.9964298260843292), ('C0113', 0.9946999538535136)]"
C0154,"[('C0116', 0.9985305289892545), ('C0016', 0.998062736048836), ('C0183', 0.997934296995144)]"
C0155,"[('C0099', 0.9956025070422414), ('C0169', 0.9946062366768337), ('C0148', 0.9916038390806928)]"
C0156,"[('C0068', 0.9933259841770986), ('C0065', 0.971603347783188), ('C0067', 0.9563150023985482)]"
C0157,"[('C0189', 0.9987786938113604), ('C0055', 0.9975954122728521), ('C0030', 0.9975526136004621)]"
C0158,"[('C0133', 0.9968949870809036), ('C0107', 0.9953269451677977), ('C0120', 0.9933239496212066)]"
C0159,"[('C0005', 0.9996045162448027), ('C0007', 0.9990960415792354), ('C0002', 0.9950099901581653)]"
C0160,"[('C0038', 0.9995981466772184), ('C0125', 0.993016842017834), ('C0079', 0.990335506272856)]"
C0161,"[('C0162', 0.9885516219361915), ('C0173', 0.981578195485119), ('C0106', 0.9809388969515943)]"
C0162,"[('C0173', 0.9982633283426158), ('C0045', 0.9932152111916437), ('C0175', 0.992998797692933)]"
C0163,"[('C0148', 0.9996867201734118), ('C0169', 0.9943673510232037), ('C0155', 0.990189198404925)]"
C0164,"[('C0069', 0.9998909431886454), ('C0064', 0.9958605648214484), ('C0019', 0.995080395277914)]"
C0165,"[('C0082', 0.9877636435320555), ('C0102', 0.9841952405820714), ('C0188', 0.9833170461068391)]"
C0166,"[('C0070', 0.9981871935536322), ('C0199', 0.998113407756776), ('C0010', 0.9980690095811071)]"
C0167,"[('C0044', 0.9980899998768806), ('C0089', 0.997417383328929), ('C0066', 0.9956268222201236)]"
C0168,"[('C0171', 0.9956585171544317), ('C0096', 0.9935914920444351), ('C0011', 0.9913995804633802)]"
C0169,"[('C0148', 0.9952653400547415), ('C0091', 0.9946807505588018), ('C0155', 0.9946062366768337)]"
C0170,"[('C0149', 0.9994262531689087), ('C0037', 0.9989131096247029), ('C0064', 0.9976457941521848)]"
C0171,"[('C0096', 0.9981750509791187), ('C0153', 0.9964298260843292), ('C0168', 0.9956585171544317)]"
C0172,"[('C0127', 0.9980608831202482), ('C0081', 0.9944020160504408), ('C0111', 0.9909617887305096)]"
C0173,"[('C0162', 0.9982633283426158), ('C0045', 0.9958745799868263), ('C0175', 0.9935621168846318)]"
C0174,"[('C0001', 0.9994009524324653), ('C0152', 0.9979380965419243), ('C0011', 0.9979168439784929)]"
C0175,"[('C0173', 0.9935621168846318), ('C0162', 0.992998797692933), ('C0045', 0.989341280867061)]"
C0176,"[('C0029', 0.9935618730228181), ('C0125', 0.9935283280016635), ('C0131', 0.9904454180943081)]"
C0177,"[('C0146', 0.9997840050263622), ('C0142', 0.9990325513294505), ('C0092', 0.9971182912063807)]"
C0178,"[('C0193', 0.9986601254094338), ('C0088', 0.9960024076191965), ('C0186', 0.9937437174544465)]"
C0179,"[('C0086', 0.996022141521399), ('C0023', 0.994802888730681), ('C0053', 0.9914093225055026)]"
C0180,"[('C0097', 0.9955725369583575), ('C0128', 0.9790619447462707), ('C0123', 0.9720822711477062)]"
C0181,"[('C0107', 0.9958062617941684), ('C0169', 0.992938047488808), ('C0155', 0.9914891857998707)]"
C0182,"[('C0114', 0.9990164581430858), ('C0105', 0.9980431724052056), ('C0057', 0.9977329263993503)]"
C0183,"[('C0016', 0.9992518786976379), ('C0072', 0.9985529949237251), ('C0055', 0.9983334196613166)]"
C0184,"[('C0118', 0.9997006502096671), ('C0152', 0.9973074820060235), ('C0001', 0.996845889305178)]"
C0185,"[('C0042', 0.9944392793513768), ('C0094', 0.9819210809504862), ('C0015', 0.9745297111010223)]"
C0186,"[('C0043', 0.9984590352736639), ('C0140', 0.9952264391929265), ('C0178', 0.9937437174544465)]"
C0187,"[('C0048', 0.9988273804655937), ('C0126', 0.9977762869541495), ('C0006', 0.9977391266933187)]"
C0188,"[('C0082', 0.999259812650985), ('C0102', 0.9984809685656258), ('C0104', 0.9975661657623318)]"
C0189,"[('C0055', 0.9997403308763031), ('C0030', 0.999225159245008), ('C0072', 0.9990659968541562)]"
C0190,"[('C0191', 0.9983362062610384), ('C0137', 0.9980801170855276), ('C0003', 0.9980730091178139)]"
C0191,"[('C0137', 0.9998071558561605), ('C0076', 0.9992224949035626), ('C0048', 0.9986279797599992)]"
C0192,"[('C0025', 0.9992020435643434), ('C0112', 0.996322382174485), ('C0071', 0.994757676981292)]"
C0193,"[('C0178', 0.9986601254094338), ('C0088', 0.9945947876752006), ('C0186', 0.9890113601836041)]"
C0194,"[('C0024', 0.9999122869052683), ('C0047', 0.9983625193220402), ('C0098', 0.9976519432490067)]"
C0195,"[('C0039', 0.9997995718615014), ('C0012', 0.9975600592533217), ('C0126', 0.9968064445915189)]"
C0196,"[('C0070', 0.9860286066501067), ('C0074', 0.9851625012717751), ('C0135', 0.9849854538285178)]"
C0197,"[('C0061', 0.9968805614990002), ('C0132', 0.9964054881150131), ('C0121', 0.9935811936767317)]"
C0198,"[('C0060', 0.9918475626915497), ('C0062', 0.9873028599178197), ('C0073', 0.9723961950305958)]"
C0199,"[('C0166', 0.998113407756776), ('C0010', 0.9965956640371921), ('C0073', 0.9957715179681133)]"
C0200,"[('C0022', 0.9973708928483915), ('C0101', 0.9913195242728183), ('C0145', 0.9910652712119843)]"
